timestamp,hour,minute,day_of_week,is_weekend,intersection,vehicle_count,is_anomaly
2024-01-01 00:00:00,0,0,0,0,North Gate,10,0
2024-01-01 00:00:00,0,0,0,0,South Gate,9,0
2024-01-01 00:00:00,0,0,0,0,East Junction,9,0
2024-01-01 00:00:00,0,0,0,0,West Junction,9,0
2024-01-01 00:00:00,0,0,0,0,City Center,12,0
2024-01-01 00:05:00,0,5,0,0,North Gate,11,0
2024-01-01 00:05:00,0,5,0,0,South Gate,9,0
2024-01-01 00:05:00,0,5,0,0,East Junction,10,0
2024-01-01 00:05:00,0,5,0,0,West Junction,10,0
2024-01-01 00:05:00,0,5,0,0,City Center,7,0
2024-01-01 00:10:00,0,10,0,0,North Gate,8,0
2024-01-01 00:10:00,0,10,0,0,South Gate,10,0
2024-01-01 00:10:00,0,10,0,0,East Junction,12,0
2024-01-01 00:10:00,0,10,0,0,West Junction,9,0
2024-01-01 00:10:00,0,10,0,0,City Center,9,0
2024-01-01 00:15:00,0,15,0,0,North Gate,10,0
2024-01-01 00:15:00,0,15,0,0,South Gate,9,0
2024-01-01 00:15:00,0,15,0,0,East Junction,9,0
2024-01-01 00:15:00,0,15,0,0,West Junction,9,0
2024-01-01 00:15:00,0,15,0,0,City Center,8,0
2024-01-01 00:20:00,0,20,0,0,North Gate,11,0
2024-01-01 00:20:00,0,20,0,0,South Gate,8,0
2024-01-01 00:20:00,0,20,0,0,East Junction,8,0
2024-01-01 00:20:00,0,20,0,0,West Junction,10,0
2024-01-01 00:20:00,0,20,0,0,City Center,11,0
2024-01-01 00:25:00,0,25,0,0,North Gate,10,0
2024-01-01 00:25:00,0,25,0,0,South Gate,9,0
2024-01-01 00:25:00,0,25,0,0,East Junction,9,0
2024-01-01 00:25:00,0,25,0,0,West Junction,9,0
2024-01-01 00:25:00,0,25,0,0,City Center,11,0
2024-01-01 00:30:00,0,30,0,0,North Gate,10,0
2024-01-01 00:30:00,0,30,0,0,South Gate,9,0
2024-01-01 00:30:00,0,30,0,0,East Junction,0,1
2024-01-01 00:30:00,0,30,0,0,West Junction,10,0
2024-01-01 00:30:00,0,30,0,0,City Center,11,0
2024-01-01 00:35:00,0,35,0,0,North Gate,11,0
2024-01-01 00:35:00,0,35,0,0,South Gate,10,0
2024-01-01 00:35:00,0,35,0,0,East Junction,10,0
2024-01-01 00:35:00,0,35,0,0,West Junction,9,0
2024-01-01 00:35:00,0,35,0,0,City Center,8,0
2024-01-01 00:40:00,0,40,0,0,North Gate,7,0
2024-01-01 00:40:00,0,40,0,0,South Gate,10,0
2024-01-01 00:40:00,0,40,0,0,East Junction,8,0
2024-01-01 00:40:00,0,40,0,0,West Junction,11,0
2024-01-01 00:40:00,0,40,0,0,City Center,9,0
2024-01-01 00:45:00,0,45,0,0,North Gate,10,0
2024-01-01 00:45:00,0,45,0,0,South Gate,9,0
2024-01-01 00:45:00,0,45,0,0,East Junction,11,0
2024-01-01 00:45:00,0,45,0,0,West Junction,10,0
2024-01-01 00:45:00,0,45,0,0,City Center,8,0
2024-01-01 00:50:00,0,50,0,0,North Gate,10,0
2024-01-01 00:50:00,0,50,0,0,South Gate,10,0
2024-01-01 00:50:00,0,50,0,0,East Junction,7,0
2024-01-01 00:50:00,0,50,0,0,West Junction,11,0
2024-01-01 00:50:00,0,50,0,0,City Center,9,0
2024-01-01 00:55:00,0,55,0,0,North Gate,7,0
2024-01-01 00:55:00,0,55,0,0,South Gate,9,0
2024-01-01 00:55:00,0,55,0,0,East Junction,8,0
2024-01-01 00:55:00,0,55,0,0,West Junction,7,0
2024-01-01 00:55:00,0,55,0,0,City Center,8,0
2024-01-01 01:00:00,1,0,0,0,North Gate,12,0
2024-01-01 01:00:00,1,0,0,0,South Gate,9,0
2024-01-01 01:00:00,1,0,0,0,East Junction,9,0
2024-01-01 01:00:00,1,0,0,0,West Junction,9,0
2024-01-01 01:00:00,1,0,0,0,City Center,9,0
2024-01-01 01:05:00,1,5,0,0,North Gate,9,0
2024-01-01 01:05:00,1,5,0,0,South Gate,8,0
2024-01-01 01:05:00,1,5,0,0,East Junction,10,0
2024-01-01 01:05:00,1,5,0,0,West Junction,9,0
2024-01-01 01:05:00,1,5,0,0,City Center,10,0
2024-01-01 01:10:00,1,10,0,0,North Gate,12,0
2024-01-01 01:10:00,1,10,0,0,South Gate,11,0
2024-01-01 01:10:00,1,10,0,0,East Junction,13,0
2024-01-01 01:10:00,1,10,0,0,West Junction,11,0
2024-01-01 01:10:00,1,10,0,0,City Center,11,0
2024-01-01 01:15:00,1,15,0,0,North Gate,9,0
2024-01-01 01:15:00,1,15,0,0,South Gate,11,0
2024-01-01 01:15:00,1,15,0,0,East Junction,9,0
2024-01-01 01:15:00,1,15,0,0,West Junction,12,0
2024-01-01 01:15:00,1,15,0,0,City Center,10,0
2024-01-01 01:20:00,1,20,0,0,North Gate,11,0
2024-01-01 01:20:00,1,20,0,0,South Gate,8,0
2024-01-01 01:20:00,1,20,0,0,East Junction,10,0
2024-01-01 01:20:00,1,20,0,0,West Junction,6,0
2024-01-01 01:20:00,1,20,0,0,City Center,8,0
2024-01-01 01:25:00,1,25,0,0,North Gate,11,0
2024-01-01 01:25:00,1,25,0,0,South Gate,9,0
2024-01-01 01:25:00,1,25,0,0,East Junction,9,0
2024-01-01 01:25:00,1,25,0,0,West Junction,10,0
2024-01-01 01:25:00,1,25,0,0,City Center,10,0
2024-01-01 01:30:00,1,30,0,0,North Gate,11,0
2024-01-01 01:30:00,1,30,0,0,South Gate,8,0
2024-01-01 01:30:00,1,30,0,0,East Junction,11,0
